#    t(1)      varx(2)      vary(3)      varz(3)
2.4955 0 0 0
2.496 3.82326e-06 3.82762e-06 3.83081e-06
2.4965 3.42536e-05 3.43613e-05 3.44336e-05
2.497 9.46296e-05 9.51174e-05 9.54802e-05
2.4975 0.000184335 0.000185617 0.000186693
2.498 0.000302659 0.000305155 0.000307684
2.4985 0.000448716 0.000452849 0.000457868
2.499 0.000621485 0.000627608 0.000636525
2.4995 0.000819795 0.00082815 0.000842769
2.5 0.00104238 0.00105303 0.00107555
2.5005 0.00128783 0.00130082 0.0013338
2.501 0.00155491 0.00157009 0.00161646
2.5015 0.00184246 0.00185956 0.00192258
2.502 0.00214965 0.00216821 0.00225144
2.5025 0.002476 0.00249537 0.00260236
2.503 0.00282116 0.00284053 0.00297487
2.5035 0.00318499 0.00320354 0.00336857
2.504 0.00356738 0.00358445 0.0037831
2.5045 0.00396786 0.00398326 0.0042182
2.505 0.00438619 0.00439997 0.00467359
2.5055 0.00482156 0.00483454 0.0051488
2.506 0.00527317 0.00528669 0.00564362
2.5065 0.00574017 0.00575595 0.0061572
2.507 0.00622139 0.00624163 0.00668876
2.5075 0.00671557 0.00674278 0.00723724
2.508 0.00722139 0.00725829 0.00780129
2.5085 0.00773745 0.00778687 0.00837934
2.509 0.00826213 0.00832694 0.00896961
2.5095 0.0087938 0.00887708 0.0095702
2.51 0.00933087 0.00943572 0.0101791
2.5105 0.0098716 0.0100014 0.0107946
2.511 0.0104145 0.0105728 0.0114151
2.5115 0.0109581 0.0111489 0.0120394
2.512 0.011501 0.0117285 0.0126665
2.5125 0.012042 0.0123112 0.0132964
2.513 0.01258 0.0128963 0.0139285
2.5135 0.0131137 0.0134831 0.0145627
2.514 0.013642 0.0140712 0.0151984
2.5145 0.0141635 0.0146601 0.0158354
2.515 0.0146772 0.0152489 0.0164727
2.5155 0.015182 0.0158374 0.0171096
2.516 0.0156767 0.0164246 0.0177452
2.5165 0.016161 0.0170104 0.0183783
2.517 0.0166344 0.0175939 0.0190086
2.5175 0.017097 0.0181751 0.019635
2.518 0.0175494 0.0187532 0.0202576
2.5185 0.0179927 0.0193281 0.0208759
2.519 0.0184279 0.0199 0.0214901
2.5195 0.0188563 0.0204684 0.0221005
2.52 0.0192797 0.0210339 0.0227072
2.5205 0.0196988 0.0215963 0.0233106
2.521 0.0201149 0.0221556 0.0239106
2.5215 0.0205288 0.0227118 0.0245077
2.522 0.0209408 0.023265 0.0251018
2.5225 0.0213512 0.023815 0.0256928
2.523 0.0217594 0.0243619 0.0262809
2.5235 0.0221654 0.0249061 0.0268662
2.524 0.0225683 0.0254483 0.0274487
2.5245 0.0229671 0.0259889 0.0280288
2.525 0.0233609 0.0265288 0.0286068
2.5255 0.0237486 0.0270685 0.0291831
2.526 0.0241292 0.0276081 0.0297582
2.5265 0.0245015 0.0281479 0.030332
2.527 0.0248648 0.0286876 0.030905
2.5275 0.0252185 0.0292267 0.0314774
2.528 0.025562 0.0297645 0.0320491
2.5285 0.0258956 0.0303004 0.0326199
2.529 0.0262196 0.0308334 0.03319
2.5295 0.0265346 0.0313629 0.0337589
2.53 0.0268415 0.0318883 0.0343266
2.5305 0.0271416 0.0324092 0.0348931
2.531 0.0274362 0.0329254 0.0354583
2.5315 0.0277264 0.0334371 0.0360223
2.532 0.0280137 0.0339446 0.0365853
2.5325 0.0282995 0.0344478 0.0371476
2.533 0.0285853 0.0349464 0.0377095
2.5335 0.0288722 0.0354403 0.0382712
2.534 0.0291617 0.0359292 0.0388325
2.5345 0.0294552 0.0364127 0.0393933
2.535 0.0297534 0.0368909 0.0399527
2.5355 0.0300575 0.0373642 0.0405103
2.536 0.0303681 0.037833 0.041065
2.5365 0.0306855 0.0382982 0.0416157
2.537 0.0310105 0.0387608 0.0421614
2.5375 0.0313432 0.0392221 0.0427014
2.538 0.0316843 0.0396834 0.0432349
2.5385 0.0320342 0.0401463 0.0437618
2.539 0.0323934 0.0406119 0.0442828
2.5395 0.0327627 0.041081 0.0447988
2.54 0.0331427 0.0415543 0.0453116
2.5405 0.0335339 0.0420323 0.0458226
2.541 0.0339367 0.0425151 0.046334
