# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
0.0501 nan nan nan nan 3.97208e+34 nan nan
0.05015 nan nan nan nan 2.77208e+14 nan nan
0.0502 nan nan nan nan 1.17461e+18 nan nan
0.05025 nan nan nan nan 1.83579e+13 nan nan
0.0503 nan nan nan nan 8.78267e+17 nan nan
0.05035 nan nan nan nan 9.13165e+11 nan nan
0.0504 nan nan nan nan 3.16355e+14 nan nan
0.05045 nan nan nan nan 3.33853e+15 nan nan
0.0505 nan nan nan nan 8.43888e+11 nan nan
0.05055 nan nan nan nan 7.43768e+13 nan nan
0.0506 nan nan nan nan 6.52761e+11 nan nan
0.05065 nan nan nan nan 5.23743e+14 nan nan
0.0507 nan nan nan nan 1.13311e+23 nan nan
0.05075 nan nan nan nan 8.99205e+15 nan nan
0.0508 nan nan nan nan 5.7547e+14 nan nan
0.05085 nan nan nan nan 6.39144e+20 nan nan
0.0509 nan nan nan nan 1.21698e+12 nan nan
0.05095 nan nan nan nan 3.19647e+15 nan nan
0.051 nan nan nan nan 2.45362e+13 nan nan
0.05105 nan nan nan nan 2.69025e+13 nan nan
0.0511 nan nan nan nan 8.86862e+12 nan nan
0.05115 nan nan nan nan 1.93643e+11 nan nan
0.0512 nan nan nan nan 1.02367e+21 nan nan
0.05125 nan nan nan nan 1.75586e+13 nan nan
0.0513 nan nan nan nan 3.94776e+12 nan nan
0.05135 nan nan nan nan 1.21688e+14 nan nan
0.0514 nan nan nan nan 2.78541e+14 nan nan
0.05145 nan nan nan nan 1.86381e+12 nan nan
0.0515 nan nan nan nan 1.529e+12 nan nan
0.05155 nan nan nan nan 1.31697e+13 nan nan
0.0516 nan nan nan nan 1.25719e+15 nan nan
0.05165 nan nan nan nan 6.32396e+12 nan nan
0.0517 nan nan nan nan 3.42551e+20 nan nan
0.05175 nan nan nan nan 8.45316e+15 nan nan
0.0518 nan nan nan nan 8.34828e+11 nan nan
0.05185 nan nan nan nan 2.26062e+15 nan nan
0.0519 nan nan nan nan 8.31705e+13 nan nan
0.05195 nan nan nan nan 1.10092e+13 nan nan
0.052 nan nan nan nan 1.93108e+14 nan nan
0.05205 nan nan nan nan 1.1888e+15 nan nan
0.0521 nan nan nan nan 3.18744e+13 nan nan
0.05215 nan nan nan nan 1.42015e+12 nan nan
0.0522 nan nan nan nan 4.66242e+17 nan nan
0.05225 nan nan nan nan 2.6045e+14 nan nan
0.0523 nan nan nan nan 7.69053e+13 nan nan
0.05235 nan nan nan nan 1.08412e+13 nan nan
0.0524 nan nan nan nan 1.10751e+16 nan nan
0.05245 nan nan nan nan 4.72452e+13 nan nan
0.0525 nan nan nan nan 4.96155e+12 nan nan
0.05255 nan nan nan nan 9.7253e+13 nan nan
0.0526 nan nan nan nan 2.24527e+18 nan nan
0.05265 nan nan nan nan 2.7006e+13 nan nan
0.0527 nan nan nan nan 4.85785e+14 nan nan
0.05275 nan nan nan nan 7.67563e+14 nan nan
0.0528 nan nan nan nan 7.35818e+13 nan nan
0.05285 nan nan nan nan 5.7399e+12 nan nan
0.0529 nan nan nan nan 2.02952e+12 nan nan
0.05295 nan nan nan nan 2.83764e+12 nan nan
0.053 nan nan nan nan 2.79816e+11 nan nan
0.05305 nan nan nan nan 1.43992e+15 nan nan
0.0531 nan nan nan nan 3.36621e+12 nan nan
0.05315 nan nan nan nan 9.38864e+13 nan nan
0.0532 nan nan nan nan 3.14526e+19 nan nan
0.05325 nan nan nan nan 1.48889e+14 nan nan
0.0533 nan nan nan nan 1.02203e+12 nan nan
0.05335 nan nan nan nan 8.368e+14 nan nan
0.0534 nan nan nan nan 2.27047e+14 nan nan
0.05345 nan nan nan nan 1.27778e+17 nan nan
0.0535 nan nan nan nan 2.53499e+15 nan nan
0.05355 nan nan nan nan 5.02131e+12 nan nan
0.0536 nan nan nan nan 5.74297e+17 nan nan
0.05365 nan nan nan nan 8.45383e+13 nan nan
0.0537 nan nan nan nan 1.21637e+13 nan nan
0.05375 nan nan nan nan 1.87574e+12 nan nan
0.0538 nan nan nan nan 2.04428e+13 nan nan
0.05385 nan nan nan nan 4.96822e+12 nan nan
0.0539 nan nan nan nan 1.65271e+15 nan nan
0.05395 nan nan nan nan 4.56385e+19 nan nan
0.054 nan nan nan nan 1.90232e+12 nan nan
0.05405 nan nan nan nan 1.46387e+18 nan nan
0.0541 nan nan nan nan 2.42809e+17 nan nan
0.05415 nan nan nan nan 3.29824e+11 nan nan
